MapData_CU_ID,CU_MetricsData_CU_ID,CU_TimeSeriesData_CU_ID,Pop_TimeSeriesData_CU_ID,CU_ID,CU_Name,Species_Full,Species,Lat,Lon,FAZ,MAZ,JAZ,Area,AvGen,RunTiming,LifeHistory
CK-03,CK-03,CK-03,CK-03,CK-03,Lower Fraser River_FA_0.3,Chinook,Ck,49.218903,-121.945066,LFR,GStr,LFR+GStr,Fraser_Lower,4,Fall,Ocean
CK-04,CK-04,CK-04,CK-04,CK-04,Lower Fraser River_SP_1.3,Chinook,Ck,49.460826,-122.4924814,LFR,GStr,LFR+GStr,Fraser_Lower,5,Spring,Stream
CK-05,CK-05,CK-05,CK-05,CK-05,Lower Fraser River-Upper Pitt_SU_1.3,Chinook,Ck,49.566286,-122.634339,LFR,GStr,LFR+GStr,Fraser_Lower,5,Summer,Stream
CK-06,CK-06,CK-06,CK-06,CK-06,Lower Fraser River_SU_1.3,Chinook,Ck,49.72016855,-122.157779,LFR,GStr,LFR+GStr,Fraser_Lower,5,Summer,Stream
CK-07,CK-07,CK-07,CK-07,CK-07,Maria Slough_SU_0.3,Chinook,Ck,49.227919,-121.733305,LFR,GStr,LFR+GStr,Fraser_Lower,4,Summer,Ocean
CK-08,CK-08,CK-08,CK-08,CK-08,Middle Fraser-Fraser Canyon_SP_1.3,Chinook,Ck,49.977915,-121.512032,FRCany,GStr,FRCany+GStr,Fraser_Upper,5,Spring,Stream
CK-09,CK-09,CK-09,CK-09,CK-09,Middle Fraser River-Portage_FA_1.3,Chinook,Ck,50.70803,-122.270059,MFR,GStr,MFR+GStr,Fraser_Upper,5,Fall,Stream
CK-10,CK-10,CK-10,CK-10,CK-10,Middle Fraser River_SP_1.3,Chinook,Ck,52.72549964,-122.6181922,MFR,GStr,MFR+GStr,Fraser_Upper,5,Spring,Stream
CK-11,CK-11,CK-11,CK-11,CK-11,Middle Fraser River_SU_1.3,Chinook,Ck,52.94072095,-123.4585458,MFR,GStr,MFR+GStr,Fraser_Upper,5,Summer,Stream
CK-12,CK-12,CK-12,CK-12,CK-12,Upper Fraser River_SP_1.3,Chinook,Ck,53.67953103,-120.9021509,UFR,GStr,UFR+GStr,Fraser_Upper,5,Spring,Stream
