FID,INDICE_UC,NOM_UC,CU TYPE,SP_QUAL,OBJECTID
0,SEL-01-01,Osoyoos,Current,SEL,1
1,SEL-03-01,Chilliwack_Early Summer Timing,Current,SEL,2
2,SEL-03-02,Cultus_Late Timing,Current,SEL,3
3,SEL-03-03,Harrison-downstream migrating_Late Timing,Current,SEL,4
4,SEL-03-04,Harrison-upstream migrating_Late Timing,Current,SEL,5
5,SEL-03-05,Pitt_Early Summer Timing,Current,SEL,6
6,SEL-04-01,Lillooet/Harrison_Late Timing,Current,SEL,7
7,SEL-05-02,Nahatlatch_Early Summer Timing,Current,SEL,8
8,SEL-06-01,Anderson/Seton_Early Summer Timing,Current,SEL,9
9,SEL-06-02,Chilko_Early Summer Timing,Current,SEL,10
10,SEL-06-03,Chilko_Summer Timing,Current,SEL,11
11,SEL-06-07,Francois/Fraser_Summer Timing,Current,SEL,12
12,SEL-06-10,Quesnel_Summer Timing,Current,SEL,13
13,SEL-06-11,Seton_Late Timing,Bin,SEL,14
14,SEL-06-13,Takla/Trembleur/Stuart_Summer Timing,Current,SEL,15
15,SEL-06-14,Takla/Trembleur_Early Stuart Timing,Current,SEL,16
16,SEL-06-16,Taseko_Early Summer Timing,Current,SEL,17
17,SEL-06-20,Nadina/Francois_Early Summer Timing,VREQ[Bin],SEL,18
18,SEL-07-01,Bowron_Early Summer Timing,Current,SEL,19
19,SEL-09-03,Shuswap Complex-Late Timing,Current,SEL,20
20,SEL-10-01,Kamloops_Early Summer Timing,Current,SEL,22
21,SEL-10-03,North Barriere_Early Summer Timing,Bin,SEL,23
22,SEL-11-01,Fulmore,Current,SEL,24
23,SEL-11-02,Heydon,Current,SEL,25
24,SEL-11-03,Kakweiken,Current,SEL,26
25,SEL-11-04,Loose,Current,SEL,27
26,SEL-11-05,Mackenzie,Current,SEL,28
27,SEL-11-06,Phillips,Current,SEL,29
28,SEL-11-07,Sakinaw,Current,SEL,30
29,SEL-11-09,Tzoonie,Current,SEL,31
30,SEL-12-01,Ida/Bonanza,Current,SEL,33
31,SEL-12-02,Nahwitti,Current,SEL,34
32,SEL-12-03,Nimpkish,Current,SEL,35
33,SEL-12-05,Quatse,Current,SEL,36
34,SEL-12-06,Schoen,Current,SEL,37
35,SEL-12-07,Shushartie,Current,SEL,38
36,SEL-12-08,Woss,Current,SEL,39
37,SEL-12-09,Vernon,Current,SEL,40
38,SEL-13-01,Alice,Current,SEL,41
39,SEL-13-02,Canoe Creek,Current,SEL,42
40,SEL-13-03,Cecilia,Current,SEL,43
41,SEL-13-04,Cheewat,Current,SEL,44
42,SEL-13-05,Clayoquot,Current,SEL,45
43,SEL-13-06,Deserted,Current,SEL,46
44,SEL-13-07,Fairy,Current,SEL,47
45,SEL-13-08,Great Central,Current,SEL,48
46,SEL-13-09,Henderson,Current,SEL,49
47,SEL-13-10,Hesquiat,Current,SEL,50
48,SEL-13-11,Hobiton,Current,SEL,51
49,SEL-13-12,Jansen,Current,SEL,52
50,SEL-13-13,Kanim,Current,SEL,53
51,SEL-13-14,Kennedy,Current,SEL,54
52,SEL-13-15,Maggie,Current,SEL,55
53,SEL-13-16,Megin,Current,SEL,56
54,SEL-13-17,Muchalat,Current,SEL,57
