FID,CU INDEX,CU NAME,CU TYPE,WSP STATUS,CU LAT,CU LONG,OBJECTID
0,SEL-03-01,CHILLIWACK-EARLY SUMMER TIMING,Current,AMBER/GREEN,49.04891899,-121.4323052,1
1,SEL-03-02,CULTUS-LATE TIMING,Current,RED,49.07507039,-121.9817234,2
2,SEL-03-03,HARRISON-DOWNSTREAM MIGRATING-LATE TIMING,Current,AMBER/GREEN,49.59035828,-121.9514039,3
3,SEL-03-04,HARRISON-UPSTREAM MIGRATING-LATE TIMING,Current,RED,49.32220914,-121.8791355,4
4,SEL-03-05,PITT-EARLY SUMMER TIMING,Current,GREEN,49.55770694,-122.6238591,5
5,SEL-04-01,LILLOOET/HARRISON-LATE TIMING,Current,AMBER,50.40062152,-122.8326871,6
6,SEL-05-02,NAHATLATCH-EARLY SUMMER TIMING,Current,AMBER,49.9911652,-121.6167063,7
7,SEL-06-01,ANDERSON/SETON-EARLY SUMMER TIMING,Current,AMBER/GREEN,50.57788313,-122.4459747,8
8,SEL-06-02,CHILKO-EARLY SUMMER TIMING,Current,GREEN,51.10225386,-124.0318793,9
9,SEL-06-03,CHILKO-SUMMER TIMING,Current,GREEN,51.7701601,-123.9216045,10
10,SEL-06-07,FRANCOIS/FRASER-SUMMER TIMING,Current,AMBER/GREEN,54.02308289,-125.0102828,11
11,SEL-06-10,QUESNEL-SUMMER TIMING,Current,RED/AMBER,52.60459731,-120.9086453,12
12,SEL-06-11,SETON-LATE TIMING,Bin,RED,50.70803014,-122.2700586,13
13,SEL-06-13,TAKLA/TREMBLEUR/STUART-SUMMER TIMING,Current,RED/AMBER,54.75653928,-124.9440666,14
14,SEL-06-14,TAKLA/TREMBLEUR-EARLY STUART TIMING,Current,RED,55.2967611,-125.8410348,15
15,SEL-06-16,TASEKO-EARLY SUMMER TIMING,Current,RED,51.45184515,-123.6557842,16
16,SEL-06-20,NADINA/FRANCOIS-EARLY SUMMER TIMING,VREQ[Bin],AMBER/GREEN,53.93668624,-126.7846704,17
17,SEL-07-01,BOWRON-EARLY SUMMER TIMING,Current,RED,53.35678949,-121.4043183,18
18,SEL-09-02,SHUSWAP COMPLEX-EARLY SUMMER TIMING,Current,AMBER,51.00353871,-119.1041473,19
19,SEL-09-03,SHUSWAP COMPLEX-LATE TIMING,Current,AMBER/GREEN,50.91737166,-119.229787,20
20,SEL-10-01,KAMLOOPS-EARLY SUMMER TIMING,Current,AMBER,51.547477,-119.9810365,21
21,SEL-10-03,NORTH BARRIERE-EARLY SUMMER TIMING,Bin,AMBER,51.33891799,-119.8004076,22
