"DataSet","Year","Pop_Name","CU_Name","SpnForAbd_Total","SpnForTrend_Total","SpnForTrend_Wild","SpnForAbd_Wild","Recruits_Total","Recruits_Wild","Pop_ID","CU_ID","DU_ID"
"Sk_Fraser",1938,"Chilko River","Chilko - Summer",10870,5142,5142,10870,NA,NA,46843,"L-06-03",NA
"Sk_Fraser",1938,"S. End Chilko Lake","Chilko - Early Summer",0,0,0,0,NA,NA,45081,"L-06-02",NA
"Sk_Fraser",1938,"Taseko Lake","Taseko - Early Summer",0,0,0,0,NA,NA,46853,"L-06-16",NA
"Sk_Fraser",1938,"Adams River, lower","Shuswap - Early Summer",0,0,0,0,NA,NA,46238,"L-09-02",NA
"Sk_Fraser",1938,"Adams River, lower","Shuswap - Early Summer",0,0,0,0,NA,NA,46239,"L-09-03",NA
"Sk_Fraser",1938,"Adams River, upper","Shuswap - Early Summer",0,0,0,0,NA,NA,46249,"L-09-03",NA
"Sk_Fraser",1938,"Anstey River","Shuswap - Early Summer",0,0,0,0,NA,NA,46348,"L-09-02",NA
"Sk_Fraser",1938,"Anstey River","Shuswap - Early Summer",0,0,0,0,NA,NA,46349,"L-09-03",NA
"Sk_Fraser",1938,"Eagle River","Shuswap - Early Summer",0,0,0,0,NA,NA,46358,"L-09-02",NA
"Sk_Fraser",1938,"Eagle River","Shuswap - Early Summer",0,0,0,0,NA,NA,46359,"L-09-03",NA
"Sk_Fraser",1938,"Momich River, lower","Shuswap - Early Summer",0,0,0,0,NA,NA,NA,NA,NA
"Sk_Fraser",1938,"Scotch Creek","Shuswap - Early Summer",0,0,0,0,NA,NA,46288,"L-09-02",NA
"Sk_Fraser",1938,"Scotch Creek","Shuswap - Early Summer",0,0,0,0,NA,NA,46289,"L-09-03",NA
"Sk_Fraser",1938,"Seymour River","Shuswap - Early Summer",0,0,0,0,NA,NA,46328,"L-09-02",NA
"Sk_Fraser",1938,"Seymour River","Shuswap - Early Summer",0,0,0,0,NA,NA,46329,"L-09-03",NA
"Sk_Fraser",1938,"15 Mile Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45590,"L-06-14",NA
"Sk_Fraser",1938,"25 Mile Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45587,"L-06-14",NA
"Sk_Fraser",1938,"25 Mile Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,46152,"L-04-01",NA
"Sk_Fraser",1938,"Ankwill Creek","Takla-Trembleur - Early Stuart",0,0,0,0,NA,NA,45596,"L-06-14",NA
