"CU_ID","Species","Stock","Label","Year","Metric","Value","LBM","UBM","Status"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"RelAbd",18712.279,701.266927736251,7119.7576937067,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"RelAbd",19226.1695,706.344714546337,7228.11726277026,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"RelAbd",15767.3352,711.422501356424,7354.72546873552,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"RelAbd",11509.082,724.44270205595,7312.52273341377,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"AbsAbd",18712.279,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"AbsAbd",19226.1695,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"AbsAbd",15767.3352,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"AbsAbd",11509.082,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"LongTrend",8.36,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"LongTrend",8.34,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"LongTrend",6.69,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"LongTrend",4.81,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"PercChange",821.1877,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"PercChange",629.7966,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"PercChange",319.1168,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"PercChange",149.1981,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"RelAbd",18712.279,701.266927736251,7119.7576937067,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"RelAbd",19226.1695,706.344714546337,7228.11726277026,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"RelAbd",15767.3352,711.422501356424,7354.72546873552,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"RelAbd",11509.082,724.44270205595,7312.52273341377,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"AbsAbd",18712.279,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"AbsAbd",19226.1695,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"AbsAbd",15767.3352,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"AbsAbd",11509.082,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"LongTrend",8.36,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"LongTrend",8.34,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"LongTrend",6.69,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"LongTrend",4.81,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"PercChange",821.1877,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"PercChange",629.7966,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"PercChange",319.1168,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"PercChange",149.1981,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2015,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Total",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2015,"RelAbd",11236.2436,388.051110776082,4126.84288297283,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2016,"RelAbd",11345.8157,391.842815303187,4191.11271032468,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2017,"RelAbd",9237.7577,395.634519830292,4343.52787948121,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2018,"RelAbd",6620.5637,407.872035889528,4292.7228230957,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2015,"AbsAbd",11236.2436,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2016,"AbsAbd",11345.8157,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2017,"AbsAbd",9237.7577,1000,10000,"Amber"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2018,"AbsAbd",6620.5637,1000,10000,"Amber"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2015,"LongTrend",8.5,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2016,"LongTrend",8.33,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2017,"LongTrend",6.64,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2018,"LongTrend",4.69,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2015,"PercChange",696.6256,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2016,"PercChange",557.3788,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2017,"PercChange",288.0151,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2018,"PercChange",138.1087,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2015,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Total",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2015,"RelAbd",18712.279,701.266927736251,7119.7576937067,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2016,"RelAbd",19226.1695,706.344714546337,7228.11726277026,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2017,"RelAbd",15767.3352,711.422501356424,7354.72546873552,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2018,"RelAbd",11509.082,724.44270205595,7312.52273341377,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2015,"AbsAbd",18712.279,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2016,"AbsAbd",19226.1695,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2017,"AbsAbd",15767.3352,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2018,"AbsAbd",11509.082,1000,10000,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2015,"LongTrend",8.36,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2016,"LongTrend",8.34,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2017,"LongTrend",6.69,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2018,"LongTrend",4.81,0.5,0.75,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2015,"PercChange",825.4256,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2016,"PercChange",649.7416,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2017,"PercChange",325.7183,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2018,"PercChange",141.5058,-25,-15,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2015,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2016,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2017,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForAbd_Wild",2018,"ProbDeclBelowLBM",0,NA,NA,NA
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Wild",2015,"RelAbd",11236.2436,388.051110776082,4126.84288297283,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Wild",2016,"RelAbd",11345.8157,391.842815303187,4191.11271032468,"Green"
"CU-19","Sockeye","Anderson_Seton_ES","SpnForTrend_Wild",2017,"RelAbd",9237.7577,395.634519830292,4343.52787948121,"Green"
