"","CU_ID","Species","Stock","Label","Year","Metric","Compare","LBM","UBM","Value","Status"
"1","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2015,"RelUBM",58427.9691,49814.5351142624,92470.4478205704,0.631855587131724,"Amber"
"2","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2016,"RelUBM",52886.1421,48755.6569522072,90249.6006784584,0.585998627167592,"Amber"
"3","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2017,"RelUBM",48248.9078,48234.5705247219,88028.7535363465,0.548103953102986,"Amber"
"4","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2018,"RelUBM",46477.8173,48002.7665110477,85807.9063942345,0.541649589799605,"Red"
"5","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2015,"AbsUBM",58427.9691,1000,10000,5.84279691,"Green"
"6","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2016,"AbsUBM",52886.1421,1000,10000,5.28861421,"Green"
"7","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2017,"AbsUBM",48248.9078,1000,10000,4.82489078,"Green"
"8","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2018,"AbsUBM",46477.8173,1000,10000,4.64778173,"Green"
"9","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2015,"RelLBM",58427.9691,49814.5351142624,92470.4478205704,1.17291005458508,"Amber"
"10","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2016,"RelLBM",52886.1421,48755.6569522072,90249.6006784584,1.08471806977889,"Amber"
"11","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2017,"RelLBM",48248.9078,48234.5705247219,88028.7535363465,1.00029724065379,"Amber"
"12","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2018,"RelLBM",46477.8173,48002.7665110477,85807.9063942345,0.968232055735856,"Red"
"13","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2015,"AbsLBM",58427.9691,1000,10000,58.4279691,"Green"
"14","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2016,"AbsLBM",52886.1421,1000,10000,52.8861421,"Green"
"15","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2017,"AbsLBM",48248.9078,1000,10000,48.2489078,"Green"
"16","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForAbd_Wild",2018,"AbsLBM",46477.8173,1000,10000,46.4778173,"Green"
"17","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForTrend_Wild",2015,"LongTrend",1.06,0.5,0.75,1.06,"Green"
"18","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForTrend_Wild",2016,"LongTrend",0.96,0.5,0.75,0.96,"Green"
"19","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForTrend_Wild",2017,"LongTrend",0.88,0.5,0.75,0.88,"Green"
"20","CK-03","Chinook","Lower Fraser River_FA_0.3","SpnForTrend_Wild",2018,"LongTrend",0.85,0.5,0.75,0.85,"Green"
