Pop_ID,MapData_Species,TimeSeriesData_Species,Species,MapData_Pop_Name,GEO_FEATUR,Lat,Lon,FAZ,MAZ,JAZ,TimeSeriesData_Pop_Name,Pop_Name,MapData_CU_ID,FWA_WATERSHED_CODE
45590,SEL,Sk_Fraser,Sk,15 MILE CREEK,Stream,55.3315823,-125.7663664,MFR,GStr,MFR+GStr,15 Mile Creek,15 MILE CREEK,SEL-06-14,100-567134-179319-815989-532920-601637-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45587,SEL,Sk_Fraser,Sk,25 MILE CREEK,Stream,55.2677005,-125.7160347,MFR,GStr,MFR+GStr,25 Mile Creek,25 MILE CREEK,SEL-06-14,100-567134-179319-815989-532920-541050-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45054,SEL,Sk_Fraser,Sk,ABBOTT CREEK,Stream,52.54260358,-121.1779389,MFR,GStr,MFR+GStr,Abbott Creek,ABBOTT CREEK,SEL-06-10,100-458399-713315-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
45089,SEL,Sk_Fraser,Sk,ADAMS LAKE,Lake,51.07154768,-119.7282505,STh,GStr,STh+GStr,Adams Lake,ADAMS LAKE,SEL-09-03,100-190442-999098-995997-058910-143155-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
69053,SEL,Sk_Fraser,Sk,ADAMS LAKE,Lake,51.07154768,-119.7282505,STh,GStr,STh+GStr,,ADAMS LAKE,SEL-09-03,100-190442-999098-995997-058910-143155-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3408,SEL,Sk_Fraser,Sk,ADAMS LAKE-E-LAKE SHORE,Lake Portion,51.19017205,-119.5429364,STh,GStr,STh+GStr,Adams Lake - misc. east side shore,ADAMS LAKE-E-LAKE SHORE,SEL-09-03,100-190442-999098-995997-058910-236998-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3409,SEL,Sk_Fraser,Sk,ADAMS LAKE-N-LAKE SHORE,Lake Portion,51.40448655,-119.4391574,STh,GStr,STh+GStr,Adams Lake - misc. north end shore,ADAMS LAKE-N-LAKE SHORE,SEL-09-03,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
3410,SEL,Sk_Fraser,Sk,ADAMS LAKE-S-LAKE SHORE,Lake Portion,50.96705266,-119.7006229,STh,GStr,STh+GStr,Adams Lake - misc. south end shore,ADAMS LAKE-S-LAKE SHORE,SEL-09-03,100-190442-999098-995997-058910-083050-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
275,CK,Ck_SBC,Ck,ADAMS RIVER,Stream,50.89386286,-119.5505675,STh,GStr,STh+GStr,,ADAMS RIVER,CK-13,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
46246,CK,Ck_SBC,Ck,ADAMS RIVER,Stream,50.89386286,-119.5505675,STh,GStr,STh+GStr,ADAMS RIVER,ADAMS RIVER,CK-13,100-190442-999098-995997-058910-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000
