CU_INDEX,CU_name,Base.Unit.CU.ShortName,CU_acro,latitude,longitude
SEL-01-01,Osoyoos,,Osoyoos,49.0409293632,-119.469792863
SEL-03-01,Chilliwack-Early Summer timing,Chilliwack_ES,Chilliwack-ES,49.056680031,-121.420388824
SEL-03-02,Cultus-Late timing,Cultus_L,Cultus-L,49.0534069203,-121.987161657
SEL-03-03,Harrison-downstream migrating-Late timing,Harrison_DS_L,Harrison-(D/S)-L,49.5197585267,-121.867169651
SEL-03-04,Harrison-upstream migrating-Late timing,Harrison_US_L,Harrison-(U/S)-L,49.5197585267,-121.867169651
SEL-03-05,Pitt-Early Summer timing,Pitt_ES,Pitt-ES,49.4339776933,-122.56001736
SEL-03-06,Hayward-Late timing,,Hayward-L,49.1912914376,-122.3942790415
SEL-03-07,Alouette,,Alouette,49.3342232303,-122.414875509
SEL-03-08,Coquitlam,,Coquitlam,49.4060585707,-122.781899166
SEL-04-01,Lillooet-Late timing,Lillooet_Harr_L,Lillooet-L,50.2341246769,-122.523739702
SEL-05-01,Kawkawa-Late timing,,Kawkawa-L,49.3873257301,-121.400812219
SEL-05-02,Nahatlatch-Early Summer timing,Nahatlatch_ES,Nahatlatch-ES,49.9883106573,-121.756687214
SEL-06-01,Anderson-Early Summer timing,Anderson_Seton_ES,Anderson-ES,50.6306534666,-122.399314063
SEL-06-02,Chilko-Early Summer timing,Chilko_S_ES,Chilko-ES,51.3186744241,-124.102572193
SEL-06-03,Chilko-Summer timing,,Chilko-S,51.3186744241,-124.102572193
SEL-06-04,Francois-Early Summer timing,,Francois-ES,54.0112037609,-125.70462114
SEL-06-05,Francois-Late timing,,Francois-L,54.0112037609,-125.70462114
SEL-06-06,Fraser-Early Summer timing,,Fraser-ES,54.0799527806,-124.741408269
SEL-06-07,Fraser-Summer timing,Fran_Fras_S,Fraser-S,54.0799527806,-124.741408269
SEL-06-08,Mckinley-Summer timing,,Mckinley-S,52.2673646149,-120.941185998
SEL-06-20,Nadina-Early Summer timing,Nadina_Francois_ES,Nadina-ES,53.89211996,-127.034767886
