SPECIES,POP_ID,Nobs,SITE_NAME,GEO_FEATUR,YLAT,XLONG,FAZ_ACRO,MAZ_ACRO,JAZ_ACRO,CU_INDEX,CU_NAME,CU_Acro,CU_Mapname,CU_TYPE,FWA_WATERSHED_CODE,distance,feature_x,feature_y
CK,46034,65,HARRISON RIVER,Stream,49.21890306,-121.9450663,LFR,GStr,LFR+GStr,CK-03,Lower Fraser River_FA_0.3,LFR-fall,CK-Lower Fraser River-FA-0.x,Current,100-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,4.66142444710976,1295533.62872524,475417.314459616
CK,46101,65,BIRKENHEAD RIVER,Stream,50.30644079,-122.6070114,LILL,GStr,LILL+GStr,CK-04,Lower Fraser River_SP_1.3,LFR-spring,CK-Lower Fraser River-SP-1.x,Current,100-077501-955583-415280-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,5.1121977863244,1241536.3732595,593665.438337947
CK,69351,-99,CHILLIWACK/VEDDER RIVER,Stream,49.12566398,-122.0981661,LFR,GStr,LFR+GStr,CK-04,Lower Fraser River_SP_1.3,LFR-spring,CK-Lower Fraser River-SP-1.x,Current,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,19.1845284561125,1284957.50214183,464447.407245289
CK,69350,-99,COQUITLAM RIVER,Stream,49.22648919,-122.8055618,LFR,GStr,LFR+GStr,CK-04,Lower Fraser River_SP_1.3,LFR-spring,CK-Lower Fraser River-SP-1.x,Current,100-023788-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,30.2375561254724,1232828.87495374,473047.843068558
CK,46111,1,GREEN RIVER/LILL,Stream,50.30147365,-122.7224003,LILL,GStr,LILL+GStr,CK-04,Lower Fraser River_SP_1.3,LFR-spring,CK-Lower Fraser River-SP-1.x,Current,100-077501-955583-455209-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,56.8664899401235,1233353.74853085,592726.311337172
CK,69055,-99,RYAN RIVER,Stream,50.3589405,-122.8356076,LILL,GStr,LILL+GStr,CK-04,Lower Fraser River_SP_1.3,LFR-spring,CK-Lower Fraser River-SP-1.x,Current,100-077501-955583-515913-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,8.95467691907923,1225013.49607972,598747.939510593
CK,69058,-99,BLUE CREEK/LFR,Stream,49.71314298,-122.717736,LFR,GStr,LFR+GStr,CK-05,Lower Fraser River-Upper Pitt_SU_1.3,LFR-UPITT,CK-Lower Fraser River-Upper Pitt-SU-1.x,Current,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,43.0188099544294,1236718.62772076,527372.124663996
CK,47921,52,PITT RIVER-UPPER,Stream,49.56628595,-122.6343385,LFR,GStr,LFR+GStr,CK-05,Lower Fraser River-Upper Pitt_SU_1.3,LFR-UPITT,CK-Lower Fraser River-Upper Pitt-SU-1.x,Current,100-025956-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,83.0986423964095,1243504.74842829,511346.377548676
CK,46076,47,BIG SILVER CREEK,Stream,49.57559391,-121.8286997,LFR,GStr,LFR+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-077501-616023-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,48.2060606488831,1301670.62782015,515481.813530735
CK,46985,64,CHILLIWACK/VEDDER RIVER,Stream,49.12566398,-122.0981661,LFR,GStr,LFR+GStr,CK-06,Lower Fraser River_SU_1.3,LFR-summer,CK-Lower Fraser River-SU-1.x,Current,100-064535-057628-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000-000000,19.1845284561125,1284957.50214183,464447.407245289
