Species,Species_Short,CU_ID,CU_Name,DU_ID,CU_ID_Alt1,CU_ID_Alt2,CU_Name_Alt1,CU_Name_Alt2,CU_Acro,latitude,long,FAZ,MAZ,JAZ,Area,RunTiming,LifeHistory,DataQualkIdx,Avg_Gen,TrendNumGen,TrendExtraYears,TrendLog,TrendSmooth,AvgType,AvgRecentExcl,LongTrendMinYears,RelAbd_LBM,RelAbd_UBM,AbsAbd_LBM,AbsAbd_UBM,LongTrend_LBM,LongTrend_UBM,PercChange_LBM,PercChange_UBM,ProbDeclBelowLBM_LBM,ProbDeclBelowLBM_UBM
Chinook,Ck,CK_9006,Fraser-Cross-CU Supplementation Exclusion,,,,,,FR-XCU,49.125664,-122.098166,NA,NA,NA,Fraser,Summer,NA,Rel_Idx,5,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_9008,Fraser-Harrison fall transplant_FA_0.3,,,,,,Chil_transp_FA,49.125664,-122.098166,NA,NA,NA,Fraser,Fall,NA,Rel_Idx,5,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_03,Lower Fraser River_FA_0.3,,,,,,LFR-fall,49.218903,-121.945066,NA,NA,NA,Fraser_Lower,Fall,Ocean,Abs_Abd,4,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_04,Lower Fraser River_SP_1.3,,,,,,LFR-spring,49.460826,-122.4924814,NA,NA,NA,Fraser_Lower,Spring,Stream,Rel_Idx,5,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_06,Lower Fraser River_SU_1.3,,,,,,LFR-summer,49.72016855,-122.157779,NA,NA,NA,Fraser_Lower,Summer,Stream,Rel_Idx,5,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_05,Lower Fraser River-Upper Pitt_SU_1.3,,,,,,LFR-UPITT,49.566286,-122.634339,NA,NA,NA,Fraser_Lower,Summer,Stream,Rel_Idx,5,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_17,Lower Thompson_SP_1.2,,,,,,LTh,50.336506,-120.9842179,NA,NA,NA,Fraser_Thompson,Spring,Stream,Rel_Idx,4,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_07,Maria Slough_SU_0.3,,,,,,Maria,49.227919,-121.733305,NA,NA,NA,Fraser_Lower,Summer,Ocean,Rel_Idx,4,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_10,Middle Fraser River_SP_1.3,,,,,,MFR-spring,52.72549964,-122.6181922,NA,NA,NA,Fraser_Upper,Spring,Stream,Rel_Idx,5,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
Chinook,Ck,CK_11,Middle Fraser River_SU_1.3,,,,,,MFR-summer,52.94072095,-123.4585458,NA,NA,NA,Fraser_Upper,Summer,Stream,Rel_Idx,5,3,0,TRUE,FALSE,geomean,FALSE,20,,,1000,10000,0.5,0.75,-25,-15,NA,NA
